order_id,date,product,category,quantity,unit_price,region
ORD-1000,2026-06-13,  wireless mouse ,Electronics,3,29.99,Toronto
ORD-1001,2026/02/27,Standing Desk,Furniture,5,$299.99,Halifax
ORD-1002,"Jun 01, 2026",Coffee Maker,Kitchen,1,89.99,Halifax
ORD-1003,2026-02-25,  standing desk ,Furniture,5,$299.99,Toronto
ORD-1004,2026/06/16,Electric Kettle,Kitchen,4,39.99,Calgary
ORD-1005,"Mar 13, 2026",USB-C Hub,Electronics,4,$49.99,Vancouver
ORD-1006,2026-03-13,  ergonomic chair ,Furniture,3,199.99,Halifax
ORD-1007,2026/01/24,Coffee Maker,Kitchen,3,$89.99,Vancouver
ORD-1008,"Jun 04, 2026",Notebook Pack,Office Supplies,4,12.99,Calgary
ORD-1009,2026-02-01,  coffee maker ,Kitchen,5,$89.99,Vancouver
ORD-1010,2026/06/10,Pen Set,Office Supplies,1,8.99,Halifax
ORD-1011,"Jun 19, 2026",Bookshelf,Furniture,1,$129.99,Toronto
ORD-1012,2026-01-26,  knife set ,Kitchen,4,59.99,
ORD-1013,2026/04/04,Bookshelf,Furniture,3,$129.99,Toronto
ORD-1014,"Mar 10, 2026",Bluetooth Speaker,Electronics,2,79.99,Calgary
ORD-1015,2026-03-04,  monitor arm ,Furniture,4,$69.99,Vancouver
ORD-1016,2026/06/13,Bookshelf,Furniture,1,129.99,Toronto
ORD-1017,"Jan 09, 2026",Sticky Notes,Office Supplies,3,$5.99,Halifax
ORD-1018,2026-02-24,  pen set ,Office Supplies,4,8.99,Montreal
ORD-1019,2026/06/14,Electric Kettle,Kitchen,3,$39.99,Toronto
ORD-1020,"Mar 05, 2026",Sticky Notes,Office Supplies,5,5.99,Montreal
ORD-1021,2026-04-03,  ergonomic chair ,Furniture,5,$199.99,Montreal
ORD-1022,2026/01/24,Wireless Mouse,Electronics,2,29.99,
ORD-1023,"Feb 10, 2026",Coffee Maker,Kitchen,4,$89.99,Montreal
ORD-1024,2026-06-02,  knife set ,Kitchen,5,59.99,Halifax
ORD-1025,2026/01/30,Desk Organizer,Office Supplies,1,$24.99,Vancouver
ORD-1026,"Apr 22, 2026",Monitor Arm,Furniture,1,69.99,
ORD-1027,2026-03-09,  standing desk ,Furniture,3,$299.99,
